,Date,Open,High,Low,Close,Volume,Election_date,X3M_before,Close_3M_before,X3M_UP_DOWN,X6M_before,Close_6M_before,X6M_UP_DOWN,X9M_before,Close_9M_before,X9M_UP_DOWN,X12_before,Close_12_before,X12M_UP_DOWN,X15_before,Close_15_before,stock_gr
5521,91/04/01,163.270004,163.270004,163.270004,163.27,0,NA,90/12/29,NA,NA,90/09/29,NA,NA,90/06/29,197.070007,1,90/03/29,NA,NA,89/12/29,180.850006,NA
5586,91/07/01,174.699997,174.699997,174.699997,174.7,0,1,91/03/28,163.270004,0,90/12/28,NA,NA,90/09/28,146.830002,1,90/06/28,NA,NA,90/03/28,0,7.000673731
5652,91/10/01,168.740005,168.740005,168.740005,168.74,0,NA,91/06/30,NA,NA,91/03/30,NA,NA,90/12/30,NA,NA,90/09/30,NA,NA,90/06/30,NA,-3.411562679
5718,92/01/01,161.600006,161.600006,161.600006,161.6,0,0,91/09/30,168.740005,0,91/06/30,NA,NA,91/03/31,NA,NA,90/12/31,154.270004,0,90/09/30,NA,-4.231361858
5783,92/04/01,174.460007,174.460007,174.460007,174.46,0,1,91/12/31,161.600006,1,91/09/30,168.740005,1,91/06/30,NA,NA,91/03/31,NA,NA,90/12/31,154.270004,7.957920792
5848,92/07/01,175.520004,175.520004,175.520004,175.52,0,NA,92/03/30,NA,NA,91/12/30,NA,NA,91/09/30,168.740005,1,91/06/30,NA,NA,91/03/30,NA,0.607589132
5914,92/10/01,146.690002,146.690002,146.690002,146.69,0,0,92/06/30,175.520004,0,92/03/30,NA,NA,91/12/30,NA,NA,91/09/30,168.740005,0,91/06/30,NA,-16.42547858
5980,93/01/01,151.210007,151.210007,151.210007,151.21,0,1,92/09/30,146.690002,1,92/06/30,175.520004,1,92/03/31,174.460007,1,91/12/31,161.600006,0,91/09/30,168.740005,3.081327971
6044,93/04/01,167.110001,167.110001,167.110001,167.11,0,1,92/12/31,151.210007,0,92/09/30,146.690002,0,92/06/30,175.520004,1,92/03/31,174.460007,1,91/12/31,161.600006,10.51517757
6109,93/07/01,168.639999,168.639999,168.639999,168.64,0,NA,93/03/30,NA,NA,92/12/30,NA,NA,92/09/30,146.690002,0,92/06/30,175.520004,1,92/03/30,0,0.915564598
6175,93/10/01,188.410004,188.410004,188.410004,188.41,0,1,93/06/30,168.639999,0,93/03/30,NA,NA,92/12/30,NA,NA,92/09/30,146.690002,0,92/06/30,175.520004,11.72319734
6241,94/01/01,218.660004,218.660004,218.660004,218.66,0,1,93/09/30,188.410004,0,93/06/30,168.639999,1,93/03/31,167.110001,1,92/12/31,151.210007,1,92/09/30,146.690002,16.05541107
6305,94/04/01,209.740005,209.740005,209.740005,209.74,0,0,93/12/31,218.660004,0,93/09/30,188.410004,1,93/06/30,168.639999,1,93/03/31,167.110001,1,92/12/31,151.210007,-4.079392664
6370,94/07/01,201.869995,201.869995,201.869995,201.87,0,0,94/03/30,210.940002,1,93/12/30,218.660004,1,93/09/30,188.410004,1,93/06/30,168.639999,1,93/03/30,0,-3.752264709
6436,94/10/01,200,200,200,200,0,0,94/06/30,201.869995,1,94/03/30,210.940002,0,93/12/30,218.660004,1,93/09/30,188.410004,1,93/06/30,168.639999,-0.926338733
6501,95/01/01,205.919998,205.919998,205.919998,205.92,0,1,94/09/30,200,1,94/06/30,201.869995,0,94/03/30,210.940002,0,93/12/30,218.660004,1,93/09/30,188.410004,2.96
6566,95/04/01,188.5,188.5,188.5,188.5,0,NA,94/12/31,NA,NA,94/09/30,200,0,94/06/30,201.869995,0,94/03/31,209.740005,0,93/12/31,218.660004,-8.45959596
6631,95/07/01,205.899994,205.899994,205.899994,205.9,0,1,95/03/30,187.970001,1,94/12/30,205.919998,1,94/09/30,200,0,94/06/30,201.869995,0,94/03/30,210.940002,9.230769231
6696,95/10/01,212.880005,212.880005,212.880005,212.88,0,1,95/06/29,207.289993,0,95/03/29,188.119995,0,94/12/29,203.539993,1,94/09/29,202.160004,0,94/06/29,202.970001,3.389995143
6761,96/01/01,215.699997,215.699997,215.699997,215.7,0,1,95/09/29,212.880005,0,95/06/29,207.289993,1,95/03/29,188.119995,0,94/12/29,203.539993,1,94/09/29,202.160004,1.324689966
6826,96/04/01,230.600006,230.600006,230.600006,230.6,0,1,95/12/29,215.699997,0,95/09/29,212.880005,1,95/06/29,207.289993,1,95/03/29,188.119995,0,94/12/29,203.539993,6.907742235
6891,96/07/01,241.119995,241.119995,241.119995,241.12,0,1,96/03/28,231.940002,0,95/12/28,216.970001,1,95/09/28,211.699997,1,95/06/28,206.460007,1,95/03/28,187.850006,4.562012142
6957,96/10/01,247.110001,247.110001,247.110001,247.11,0,NA,96/06/30,NA,NA,96/03/30,NA,NA,95/12/30,NA,NA,95/09/30,NA,NA,95/06/30,205.899994,2.484240212
7023,97/01/01,263.459991,263.459991,263.459991,263.46,0,1,96/09/30,247.110001,0,96/06/30,NA,NA,96/03/31,NA,NA,95/12/31,NA,NA,95/09/30,NA,6.616486585
7087,97/04/01,310.290009,310.290009,310.290009,310.29,0,1,96/12/31,263.459991,0,96/09/30,247.110001,1,96/06/30,NA,NA,96/03/31,NA,NA,95/12/31,NA,17.77499431
7152,97/07/01,342.390015,342.390015,342.390015,342.39,0,NA,97/03/30,NA,NA,96/12/30,263.459991,1,96/09/30,247.110001,1,96/06/30,NA,NA,96/03/30,NA,10.34516098
7218,97/10/01,369.149994,369.149994,369.149994,369.15,0,1,97/06/30,342.390015,0,97/03/30,NA,NA,96/12/30,263.459991,1,96/09/30,247.110001,0,96/06/30,NA,7.815648822
7284,98/01/01,371.019989,371.019989,371.019989,371.02,0,1,97/09/30,369.149994,0,97/06/30,342.390015,1,97/03/31,310.290009,1,96/12/31,263.459991,1,96/09/30,247.110001,0.506569145
7348,98/04/01,442.149994,442.149994,442.149994,442.15,0,1,97/12/31,371.019989,0,97/09/30,369.149994,1,97/06/30,342.390015,1,97/03/31,310.290009,1,96/12/31,263.459991,19.17147324
7413,98/07/01,497.5,497.5,497.5,497.5,0,1,98/03/30,435.679993,0,97/12/30,371.019989,1,97/09/30,369.149994,1,97/06/30,342.390015,0,97/03/30,NA,12.51837612
7479,98/10/01,387.600006,387.600006,387.600006,387.6,0,0,98/06/30,497.5,0,98/03/30,435.679993,1,97/12/30,371.019989,1,97/09/30,369.149994,1,97/06/30,342.390015,-22.09045226
7545,99/01/01,428.660004,428.660004,428.660004,428.66,0,1,98/09/30,387.600006,1,98/06/30,497.5,1,98/03/31,442.149994,1,97/12/31,371.019989,1,97/09/30,369.149994,10.59339525
7609,99/04/01,421.390015,421.390015,421.390015,421.39,0,0,98/12/31,428.660004,0,98/09/30,387.600006,0,98/06/30,497.5,1,98/03/31,442.149994,1,97/12/31,371.019989,-1.69598283
7674,99/07/01,458.640015,458.640015,458.640015,458.64,0,1,99/03/30,419.320007,1,98/12/30,428.660004,1,98/09/30,387.600006,0,98/06/30,497.5,1,98/03/30,435.679993,8.839792117
7740,99/10/01,439.070007,439.070007,439.070007,439.07,0,0,99/06/30,458.640015,0,99/03/30,419.320007,0,98/12/30,428.660004,1,98/09/30,387.600006,0,98/06/30,497.5,-4.266963196
