Date,Open,High,Low,Close,Volume,Election_date,3M_before,Close_3M_before,3M_UP_DOWN,6M_before,Close_6M_before,6M_UP_DOWN,9M_before,Close_9M_before,9M_UP_DOWN,12_before,Close_12_before,12M_UP_DOWN,15_before,Close_15_before
70/01/30,41.91,41.91,41.91,41.91 ,0,,69/10/30,,,69/07/30,,,69/04/30,,,69/01/30,,,68/10/30,
70/02/02,,,,,,,69/11/02,,,69/08/02,,,69/05/02,,,69/02/02,,,68/11/02,
70/02/03,,,,,,,69/11/03,,,69/08/03,,,69/05/03,,,69/02/03,,,68/11/03,
70/02/04,,,,,,,69/11/04,,,69/08/04,,,69/05/04,,,69/02/04,,,68/11/04,
70/02/05,,,,,,,69/11/05,,,69/08/05,,,69/05/05,,,69/02/05,,,68/11/05,
70/02/06,,,,,,,69/11/06,,,69/08/06,,,69/05/06,,,69/02/06,,,68/11/06,
70/02/09,,,,,,,69/11/09,,,69/08/09,,,69/05/09,,,69/02/09,,,68/11/09,
70/02/10,,,,,,,69/11/10,,,69/08/10,,,69/05/10,,,69/02/10,,,68/11/10,
70/02/11,,,,,,,69/11/11,,,69/08/11,,,69/05/11,,,69/02/11,,,68/11/11,
70/02/12,,,,,,,69/11/12,,,69/08/12,,,69/05/12,,,69/02/12,,,68/11/12,
70/02/13,,,,,,,69/11/13,,,69/08/13,,,69/05/13,,,69/02/13,,,68/11/13,
70/02/16,,,,,,,69/11/16,,,69/08/16,,,69/05/16,,,69/02/16,,,68/11/16,
70/02/17,,,,,,,69/11/17,,,69/08/17,,,69/05/17,,,69/02/17,,,68/11/17,
70/02/18,,,,,,,69/11/18,,,69/08/18,,,69/05/18,,,69/02/18,,,68/11/18,
70/02/19,,,,,,,69/11/19,,,69/08/19,,,69/05/19,,,69/02/19,,,68/11/19,
70/02/20,,,,,,,69/11/20,,,69/08/20,,,69/05/20,,,69/02/20,,,68/11/20,
70/02/23,,,,,,,69/11/23,,,69/08/23,,,69/05/23,,,69/02/23,,,68/11/23,
70/02/24,,,,,,,69/11/24,,,69/08/24,,,69/05/24,,,69/02/24,,,68/11/24,
70/02/25,,,,,,,69/11/25,,,69/08/25,,,69/05/25,,,69/02/25,,,68/11/25,
70/02/26,,,,,,,69/11/26,,,69/08/26,,,69/05/26,,,69/02/26,,,68/11/26,
70/02/27,41.099998,41.099998,41.099998,41.10 ,0,,69/11/27,,,69/08/27,,,69/05/27,,,69/02/27,,,68/11/27,
70/03/02,,,,,,,69/12/02,,,69/09/02,,,69/06/02,,,69/03/02,,,68/12/02,
70/03/03,,,,,,,69/12/03,,,69/09/03,,,69/06/03,,,69/03/03,,,68/12/03,
70/03/04,,,,,,,69/12/04,,,69/09/04,,,69/06/04,,,69/03/04,,,68/12/04,
70/03/05,,,,,,,69/12/05,,,69/09/05,,,69/06/05,,,69/03/05,,,68/12/05,
70/03/06,,,,,,,69/12/06,,,69/09/06,,,69/06/06,,,69/03/06,,,68/12/06,
70/03/09,,,,,,,69/12/09,,,69/09/09,,,69/06/09,,,69/03/09,,,68/12/09,
70/03/10,,,,,,,69/12/10,,,69/09/10,,,69/06/10,,,69/03/10,,,68/12/10,
70/03/11,,,,,,,69/12/11,,,69/09/11,,,69/06/11,,,69/03/11,,,68/12/11,
70/03/12,,,,,,,69/12/12,,,69/09/12,,,69/06/12,,,69/03/12,,,68/12/12,
70/03/13,,,,,,,69/12/13,,,69/09/13,,,69/06/13,,,69/03/13,,,68/12/13,
70/03/16,,,,,,,69/12/16,,,69/09/16,,,69/06/16,,,69/03/16,,,68/12/16,
