Date+A1,Open,High,Low,Close,Volume,3M_before,Close_3M_before,3M_UP/DOWN,6M_before,Close_6M_before,6M_UP/DOWN,9M_before,Close_9M_before,9M_UP/DOWN,12_before,Close_12_before,12M_UP/DOWN
04/03/15,342.66,344.39,335.93,335.97,93719421,03/12/15,,,03/09/15,,,03/06/15,,,03/03/15,,
04/03/16,336.74,338.67,332.93,336.6,104636132,03/12/16,,,03/09/16,,,03/06/16,,,03/03/16,,
04/03/17,337.2,343.35,337.2,342.93,102094814,03/12/17,,,03/09/17,,,03/06/17,,,03/03/17,,
04/03/18,343.18,343.49,336.95,337.34,90205793,03/12/18,,,03/09/18,,,03/06/18,,,03/03/18,,
04/03/19,339.51,340.22,335.58,336.59,164592799,03/12/19,,,03/09/19,,,03/06/19,,,03/03/19,,
04/03/22,333.15,333.41,326.1,328.7,95007664,03/12/22,,,03/09/22,,,03/06/22,,,03/03/22,,
04/03/23,328.94,332.2,327.69,328.86,88829599,03/12/23,,,03/09/23,,,03/06/23,,,03/03/23,,
04/03/24,329.22,331.27,326.21,328.78,94176910,03/12/24,,,03/09/24,,,03/06/24,,,03/03/24,,
04/03/25,331.76,336.13,331.76,336.13,98724796,03/12/25,,,03/09/25,,,03/06/25,,,03/03/25,,
04/03/26,337.59,339.37,335.53,337.15,70892993,03/12/26,,,03/09/26,,,03/06/26,,,03/03/26,,
04/03/29,338.03,342.39,337.33,342.11,56725641,03/12/29,,,03/09/29,,,03/06/29,,,03/03/29,,
04/03/30,342.2,342.2,339.23,341.45,63555601,03/12/30,,,03/09/30,,,03/06/30,,,03/03/30,,
04/03/31,342.06,343.7,339.18,340.35,71184879,03/12/31,,,03/09/30,,,03/06/30,,,03/03/31,,
04/04/01,341.95,346.23,340.55,346.04,82432700,04/01/01,,,03/10/01,,,03/07/01,,,03/04/01,,
04/04/02,346.61,352.73,345.86,352.73,97317228,04/01/02,,,03/10/02,,,03/07/02,,,03/04/02,,
04/04/05,354.06,356.61,352.59,356.06,75481270,04/01/05,,,03/10/05,,,03/07/05,,,03/04/05,,
04/04/06,356.94,356.94,353.09,353.91,82701852,04/01/06,,,03/10/06,,,03/07/06,,,03/04/06,,
04/04/07,353.82,356.04,352.38,352.47,72824377,04/01/07,,,03/10/07,,,03/07/07,,,03/04/07,,
04/04/08,354.73,356.89,352.82,353.5,64974017,04/01/08,,,03/10/08,,,03/07/08,,,03/04/08,,
04/04/13,355.35,359.82,355.35,358.1,67788754,04/01/13,,,03/10/13,,,03/07/13,,,03/04/13,,
04/04/14,354.87,355.13,349.89,353.25,89404433,04/01/14,,,03/10/14,,,03/07/14,,,03/04/14,,
04/04/15,352.24,354.98,351.5,352.59,67740450,04/01/15,,,03/10/15,,,03/07/15,,,03/04/15,,
04/04/16,351.26,355.62,351.26,355.01,83782980,04/01/16,,,03/10/16,,,03/07/16,,,03/04/16,,
04/04/19,354.39,355.6,352.27,354.52,51544741,04/01/19,,,03/10/19,,,03/07/19,,,03/04/19,,
04/04/20,356.6,359.24,356.6,357.64,68097200,04/01/20,,,03/10/20,,,03/07/20,,,03/04/20,,
04/04/21,354.84,357.1,353.97,354.93,86864139,04/01/21,,,03/10/21,,,03/07/21,,,03/04/21,,
04/04/22,356.21,357.78,353.12,357.58,90149467,04/01/22,,,03/10/22,,,03/07/22,,,03/04/22,,
04/04/23,359.54,363.14,359.34,361.49,102246423,04/01/23,,,03/10/23,,,03/07/23,,,03/04/23,,
04/04/26,362.17,365.48,361.74,363.1,73651996,04/01/26,,,03/10/26,,,03/07/26,,,03/04/26,,
04/04/27,363.02,364.81,361.92,363.64,75495646,04/01/27,,,03/10/27,,,03/07/27,,,03/04/27,,
04/04/28,363.44,363.44,357.71,357.9,98938903,04/01/28,,,03/10/28,,,03/07/28,,,03/04/28,,
04/04/29,356.81,357.44,351.47,353.03,117873596,04/01/29,,,03/10/29,,,03/07/29,,,03/04/29,,
04/04/30,351.12,352.89,349.91,351.43,88855871,04/01/30,,,03/10/30,,,03/07/30,,,03/04/30,,
04/05/03,349.44,353.56,348.46,353.37,47044619,04/02/03,,,03/11/03,,,03/08/03,,,03/05/03,,
04/05/04,352.96,354.36,351.1,352.2,67434098,04/02/04,,,03/11/04,,,03/08/04,,,03/05/04,,
04/05/05,350.64,354.94,350.35,354.56,78570456,04/02/05,,,03/11/05,,,03/08/05,,,03/05/05,,
04/05/06,353.53,353.7,344.61,345.19,102472374,04/02/06,,,03/11/06,,,03/08/06,,,03/05/06,,
04/05/07,344.71,346.23,340.6,343.98,96033655,04/02/07,,,03/11/07,,,03/08/07,,,03/05/07,,
04/05/10,343.81,343.81,333.85,334.02,98253130,04/02/10,,,03/11/10,,,03/08/10,,,03/05/10,,
04/05/11,335.79,339.5,335.79,339.49,73883352,04/02/11,,,03/11/11,,,03/08/11,,,03/05/11,,
04/05/12,339.55,339.74,333.38,333.82,79494793,04/02/12,,,03/11/12,,,03/08/12,,,03/05/12,,
04/05/13,334.95,337.99,334.36,337.93,77120540,04/02/13,,,03/11/13,,,03/08/13,,,03/05/13,,
04/05/14,337.29,338.34,333.56,336.13,72359287,04/02/14,,,03/11/14,,,03/08/14,,,03/05/14,,
04/05/17,335.08,335.08,328.09,331.32,81542002,04/02/17,,,03/11/17,,,03/08/17,,,03/05/17,,
04/05/18,332.64,334.9,331.54,334.49,65645187,04/02/18,,,03/11/18,,,03/08/18,,,03/05/18,,
04/05/19,336.95,342.32,336.95,341.57,80669491,04/02/19,,,03/11/19,,,03/08/19,,,03/05/19,,
04/05/20,338.82,339.2,336.63,338.76,38245348,04/02/20,,,03/11/20,,,03/08/20,,,03/05/20,,
04/05/21,339.85,341.2,336.6,338.42,58671684,04/02/21,,,03/11/21,,,03/08/21,,,03/05/21,,
04/05/24,339.94,343.92,339.66,341.41,51451204,04/02/24,,,03/11/24,,,03/08/24,,,03/05/24,,
04/05/25,339.11,339.42,336.82,338.17,59323415,04/02/25,,,03/11/25,,,03/08/25,,,03/05/25,,
04/05/26,338.68,343.89,338.68,341.5,64285747,04/02/26,,,03/11/26,,,03/08/26,,,03/05/26,,
04/05/27,343.07,346.13,342.61,345.19,73056353,04/02/27,,,03/11/27,,,03/08/27,,,03/05/27,,
04/05/28,346.84,347.21,343.67,344.55,61152415,04/02/28,,,03/11/28,,,03/08/28,,,03/05/28,,
04/05/31,344.53,346.57,344.15,346.25,10040091,04/02/29,,,03/11/30,,,03/08/31,,,03/05/31,,
04/06/01,346.74,346.74,341.05,341.62,53056028,04/03/01,,,03/12/01,,,03/09/01,,,03/06/01,,
04/06/02,343.61,345.79,342.8,343.48,58202220,04/03/02,,,03/12/02,,,03/09/02,,,03/06/02,,
04/06/03,343.82,345.73,342.04,345.72,61525601,04/03/03,,,03/12/03,,,03/09/03,,,03/06/03,,
04/06/04,345.78,350.38,345.52,349.56,69893211,04/03/04,,,03/12/04,,,03/09/04,,,03/06/04,,
04/06/07,352.24,354.6,352.24,354.13,65325864,04/03/07,,,03/12/07,,,03/09/07,,,03/06/07,,
04/06/08,355.8,355.88,352.98,354.27,70848461,04/03/08,,,03/12/08,,,03/09/08,,,03/06/08,,
04/06/09,354.87,355.57,352.08,352.54,62328229,04/03/09,,,03/12/09,,,03/09/09,,,03/06/09,,
04/06/10,352.45,354.8,352.13,354.48,36704612,04/03/10,,,03/12/10,,,03/09/10,,,03/06/10,,
04/06/11,354.04,354.21,352.16,353.85,32877147,04/03/11,,,03/12/11,,,03/09/11,,,03/06/11,,
04/06/14,352.59,352.98,347.86,348.63,55923735,04/03/14,,,03/12/14,,,03/09/14,,,03/06/14,,
04/06/15,348.31,352.16,347.28,351.65,63035255,04/03/15,335.97,0,03/12/15,,,03/09/15,,,03/06/15,,
04/06/16,352.99,353.62,352.17,353.09,62734211,04/03/16,336.6,0,03/12/16,,,03/09/16,,,03/06/16,,
04/06/17,352.6,354.21,350.71,351.76,57436598,04/03/17,342.93,0,03/12/17,,,03/09/17,,,03/06/17,,
04/06/18,351.02,353.03,350.19,352.77,115705435,04/03/18,337.34,0,03/12/18,,,03/09/18,,,03/06/18,,
04/06/21,354.67,354.95,351.13,352.02,55239037,04/03/21,,,03/12/21,,,03/09/21,,,03/06/21,,
04/06/22,350.91,351.55,346.55,347.28,69423127,04/03/22,328.7,0,03/12/22,,,03/09/22,,,03/06/22,,
04/06/23,349.28,350.25,348.01,348.63,56818159,04/03/23,328.86,0,03/12/23,,,03/09/23,,,03/06/23,,
04/06/24,350.75,353.89,350.75,353.44,73473326,04/03/24,328.78,0,03/12/24,,,03/09/24,,,03/06/24,,
04/06/25,353.01,354.38,351.87,353.86,55563657,04/03/25,336.13,0,03/12/25,,,03/09/25,,,03/06/25,,
04/06/28,354.18,358.73,353.23,358.42,68118249,04/03/28,,,03/12/28,,,03/09/28,,,03/06/28,,
04/06/29,357.67,359.64,356.96,358.61,66240876,04/03/29,342.11,0,03/12/29,,,03/09/29,,,03/06/29,,
04/06/30,359.27,360.2,357.49,357.49,59964023,04/03/30,341.45,0,03/12/30,,,03/09/30,,,03/06/30,,
